epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,63.7913,0.78349,0.71317,1.02259,0.85793,0.92407,0.92192,0.69586,0.97135,0.88113,1.09615,0.000990365,0.000990365,0.000990365
43,65.3035,0.75589,0.66032,1.04451,0.81716,0.93948,0.91886,0.7138,0.91622,0.83956,1.07339,0.000973861,0.000973861,0.000973861
44,66.7471,0.76503,0.63281,1.00559,0.8599,0.92068,0.95047,0.71891,0.93077,0.82089,1.0694,0.000957358,0.000957358,0.000957358
45,68.2598,0.79788,0.65841,1.02371,0.86461,0.8906,0.92076,0.71931,0.8913,0.80132,1.05484,0.000940855,0.000940855,0.000940855
46,69.7049,0.79078,0.63866,1.01507,0.85401,0.92524,0.88056,0.65072,0.93084,0.78944,1.06903,0.000924352,0.000924352,0.000924352
47,71.1549,0.90088,0.71062,1.08653,0.67494,0.90933,0.69262,0.55354,0.98012,1.29275,1.08587,0.000907848,0.000907848,0.000907848
48,72.6126,0.8276,0.66836,1.0353,0.81926,0.86429,0.89198,0.66462,0.98462,0.81245,1.09985,0.000891345,0.000891345,0.000891345
49,74.0864,0.79695,0.63743,0.99039,0.78573,0.87933,0.89443,0.64639,0.97376,0.84858,1.09535,0.000874842,0.000874842,0.000874842
50,75.6243,0.77209,0.62321,1.00607,0.84361,0.90564,0.91743,0.70749,0.8487,0.76017,1.03018,0.000858338,0.000858338,0.000858338
51,77.0748,0.76918,0.60448,1.00669,0.8913,0.93948,0.94965,0.72441,0.84989,0.70887,1.04033,0.000841835,0.000841835,0.000841835
52,78.6051,0.73069,0.5889,0.99127,0.76666,0.94324,0.82197,0.6723,0.81979,0.73541,1.01546,0.000825332,0.000825332,0.000825332
53,80.067,0.74546,0.64003,0.98857,0.70252,0.95075,0.74317,0.61646,0.82353,0.83877,1.03054,0.000808828,0.000808828,0.000808828
54,81.5099,0.71521,0.56472,1.01112,0.90744,0.947,0.95539,0.73307,0.83314,0.64452,1.03982,0.000792325,0.000792325,0.000792325
55,83.0372,0.75001,0.59911,1.00501,0.91465,0.93159,0.95941,0.7479,0.84771,0.68053,1.03494,0.000775822,0.000775822,0.000775822
